timestamp, win_rate, difference, n_win, n_los
2025_02_03_2141,52.887,63,577,514
2025_02_03_2155,52.93,64,578,514
2025_02_03_2155,52.844,62,576,514
2025_02_03_2157,52.93,64,578,514
2025_02_03_2222,52.973,65,579,514
2025_02_04_0054,53.145,69,583,514
2025_02_04_0100,53.097,68,583,515
2025_02_04_0125,53.0,66,583,517
2025_02_04_0207,53.085,68,585,517
2025_02_04_2117,52.989,66,585,519
2025_02_04_2147,53.032,67,586,519
2025_02_04_2203,53.074,68,587,519
2025_02_04_2221,53.069,68,588,520
2025_02_04_2221,52.984,66,586,520
2025_02_04_2239,53.021,67,588,521
2025_02_04_2256,10.0,-464,58,522
2025_02_05_2036,52.92,65,589,524
2025_02_05_2132,52.962,66,590,524
2025_02_05_2151,52.915,65,590,525
2025_02_05_2219,52.957,66,591,525
2025_02_05_2317,52.994,67,593,526
2025_02_05_2335,53.036,68,594,526
2025_02_08_0746,52.983,67,595,528
2025_02_08_1015,10.034,-470,59,529
2025_02_08_1029,53.02,68,597,529
2025_02_08_1051,52.931,66,596,530
2025_02_08_1052,53.014,68,598,530
2025_02_08_1101,53.056,69,599,530
2025_02_08_1136,53.097,70,600,530
2025_02_08_1147,53.139,71,601,530
2025_02_09_0813,53.092,70,601,531
2025_02_09_0823,53.133,71,602,531
2025_02_09_1607,53.04,69,602,533
2025_02_09_1625,53.034,69,603,534
2025_02_09_1654,53.029,69,604,535
2025_02_10_2115,53.07,70,605,535
2025_02_10_2126,53.024,69,605,536
2025_02_11_1606,53.065,70,606,536
2025_02_12_2107,53.018,69,606,537
2025_02_12_2126,53.059,70,607,537
2025_02_12_2135,53.013,69,607,538
2025_02_14_0348,52.967,68,607,539
2025_02_14_0452,52.962,68,608,540
2025_02_14_0542,53.043,70,610,540
2025_02_14_0556,53.084,71,611,540
2025_02_14_0608,53.125,72,612,540
2025_02_15_1157,53.033,70,612,542
2025_02_15_1231,52.987,69,612,543
2025_02_15_1313,53.022,70,614,544
2025_02_15_1402,52.977,69,614,545
2025_02_15_1419,53.017,70,615,545
2025_02_15_1431,53.058,71,616,545
2025_02_15_1445,53.098,72,617,545
2025_02_15_1510,53.138,73,618,545
2025_02_15_1524,10.049,-485,61,546
2025_02_15_1538,53.047,71,618,547
2025_02_15_1557,52.956,69,618,549
2025_02_15_1612,52.997,70,619,549
2025_02_15_1633,52.951,69,619,550
2025_02_15_1943,52.991,70,620,550
2025_02_15_1959,52.946,69,620,551
2025_02_15_2027,10.098,-490,62,552
2025_02_15_2027,52.901,68,620,552
2025_02_15_2043,52.941,69,621,552
2025_02_15_2059,52.981,70,622,552
2025_02_21_1944,52.743,65,625,560
2025_02_21_1958,52.782,66,626,560
2025_02_21_2022,52.778,66,627,561
2025_02_21_2125,52.817,67,628,561
2025_02_21_2147,52.857,68,629,561
2025_02_21_2200,52.897,69,630,561
2025_02_21_2214,52.852,68,630,562
2025_02_22_1243,52.892,69,631,562
2025_02_22_1254,52.931,70,632,562
2025_02_22_2038,52.887,69,632,563
2025_02_22_2100,52.926,70,633,563
2025_02_22_2125,52.966,71,634,563
2025_02_22_2131,53.005,72,635,563
2025_02_22_2143,53.044,73,636,563
2025_02_23_0834,53.083,74,637,563
2025_02_23_0844,53.039,73,637,564
2025_02_23_0937,53.034,73,638,565
2025_02_23_0941,10.032,-502,63,565
2025_02_23_0941,53.034,73,638,565
2025_02_23_0958,53.073,74,639,565
2025_02_23_1155,53.107,75,641,566
2025_02_23_1206,53.146,76,642,566
2025_02_23_1224,53.102,75,642,567
2025_02_23_1232,53.058,74,642,568
2025_02_23_2029,53.014,73,642,569
2025_02_23_2043,53.053,74,643,569
2025_02_23_2106,53.092,75,644,569
2025_02_23_2118,53.13,76,645,569
2025_02_23_2205,53.169,77,646,569
2025_02_28_2151,53.284,80,649,569
2025_02_28_2201,53.24,79,649,570
2025_02_28_2227,53.279,80,650,570
2025_02_28_2253,53.317,81,651,570
2025_03_04_2039,53.23,79,651,572
2025_03_04_2115,53.1,76,651,575
2025_03_06_1023,53.056,75,651,576
2025_03_06_1045,53.094,76,652,576
2025_03_06_1104,53.051,75,652,577
2025_03_06_1119,53.089,76,653,577
2025_03_06_1145,53.084,76,654,578
2025_03_06_1154,53.122,77,655,578
2025_03_06_1300,53.074,76,656,580
2025_03_06_1833,53.112,77,657,580
2025_03_06_1836,53.069,76,657,581
2025_03_10_2113,53.027,75,657,582
2025_03_10_2136,10.046,-517,65,582
2025_03_10_2155,53.102,77,659,582
2025_10_02_1811,56.459,54,236,182
2025_10_02_1817,56.325,53,236,183
2025_10_02_1817,11.165,-160,23,183
2025_10_02_1818,56.325,53,236,183
2025_10_02_1850,56.429,54,237,183
2025_10_02_1908,56.532,55,238,183
2025_10_02_1909,11.165,-160,23,183
2025_10_02_1909,56.532,55,238,183
2025_10_02_1917,11.058,-162,23,185
2025_10_02_1917,56.265,53,238,185
2025_10_03_0824,11.005,-163,23,186
2025_10_03_0841,1.579,-184,3,187
2025_10_03_0841,56.103,52,239,187
2025_10_03_0858,56.206,53,240,187
2025_10_03_0913,56.308,54,241,187
2025_10_03_0925,56.41,55,242,187
2025_10_03_0950,56.279,54,242,188
2025_10_03_1019,56.25,54,243,189
2025_10_03_1034,56.351,55,244,189
2025_10_03_1109,56.452,56,245,189
2025_10_03_1926,56.552,57,246,189
2025_10_03_1927,11.268,-165,24,189
2025_10_03_1937,56.651,58,247,189
2025_10_03_2055,11.574,-166,25,191
2025_10_03_2056,33.738,-241,250,491
2025_10_03_2110,56.561,58,250,192
2025_10_03_2128,56.433,57,250,193
2025_10_03_2141,56.532,58,251,193
2025_10_03_2146,56.629,59,252,193
2025_10_03_2208,56.502,58,252,194
2025_10_04_0915,56.125,55,252,197
2025_10_04_0941,56.0,54,252,198
2025_10_04_0958,55.876,53,252,199
2025_10_04_1045,55.727,52,253,201
2025_10_04_1102,55.604,51,253,202
2025_10_10_1447,55.702,52,254,202
2025_10_10_1526,55.677,52,255,203
2025_10_10_1558,55.556,51,255,204
2025_10_10_1634,55.652,52,256,204
2025_10_10_1646,55.531,51,256,205
2025_10_10_1703,55.508,51,257,206
2025_10_10_1726,10.823,-181,25,206
2025_10_10_1726,55.411,50,256,206
2025_10_10_1744,10.823,-181,25,206
2025_10_10_1745,55.699,53,259,206
2025_10_10_1807,55.794,54,260,206
2025_10_10_1842,55.983,56,262,206
2025_10_10_2048,55.745,54,262,208
2025_10_10_2109,55.839,55,263,208
2025_10_11_1254,55.696,54,264,210
2025_10_12_1929,55.789,55,265,210
2025_10_12_1949,55.765,55,266,211
2025_10_12_2002,55.858,56,267,211
2025_10_12_2031,55.95,57,268,211
2025_10_12_2109,10.879,-187,26,213
2025_10_12_2109,55.717,55,268,213
2025_10_12_2130,10.879,-187,26,213
2025_10_12_2135,55.809,56,269,213
2025_10_12_2146,55.901,57,270,213
2025_10_12_2215,56.082,59,272,213
2025_10_12_2348,55.828,57,273,216
2025_10_13_0019,55.918,58,274,216
2025_10_18_2009,55.804,57,274,217
2025_10_18_2023,55.894,58,275,217
2025_10_18_2038,55.781,57,275,218
2025_10_18_2047,55.668,56,275,219
2025_10_18_2103,55.556,55,275,220
2025_10_18_2114,55.444,54,275,221
2025_10_18_2134,92.593,253,275,22
2025_10_18_2134,55.332,53,275,222
2025_10_18_2142,55.221,52,275,223
2025_10_18_2150,55.11,51,275,224
2025_10_18_2212,55.2,52,276,224
2025_10_18_2227,55.09,51,276,225
2025_10_18_2249,54.98,50,276,226
2025_10_18_2256,55.07,51,277,226
2025_10_18_2301,54.96,50,277,227
2025_10_18_2325,54.851,49,277,228
2025_10_19_0017,54.724,48,278,230
2025_10_19_0103,10.425,-205,27,232
2025_10_19_0105,54.51,46,278,232
2025_10_19_0125,54.492,46,279,233
2025_10_19_0158,54.475,46,280,234
2025_10_21_0614,54.44,46,282,236
2025_10_24_2037,54.528,47,283,236
2025_10_24_2129,54.685,49,286,237
2025_10_24_2153,54.58,48,286,238
2025_10_25_1929,54.667,49,287,238
2025_10_25_2002,54.545,48,288,240
2025_10_27_0346,54.597,49,291,242
2025_10_27_0441,54.478,48,292,244
2025_10_27_0507,54.562,49,293,244
2025_10_27_0509,54.647,50,294,244
2025_10_27_0537,54.731,51,295,244
2025_10_27_0610,54.898,53,297,244
2025_10_27_0633,54.797,52,297,245
2025_11_01_0123,54.762,52,299,247
