word,mean,page,synonym,dict_info,class,explanation
vestry,"교회부속실(사무실, 기도실, 주일학교 교실용), 예배실",12,,"동아출판, YBM",,
interrogation,심문,12,,,,
repent,"뉘우치다, 회개하다",12,,,,
tuck,밀어넣다,13,,,,
impetuous,"성급한, 충동적인",13,,,,
feebly,"약하게, 희미하게, 힘없이",13,,,,
sore,"몹시, 격렬하게, 심하게",13,,"동아출판, YBM",부사,
stricken,"상처받은, 부상당한, 시달린",13,,"동아출판, YBM",,
deliberation,"숙고, 신중함",13,,,,
resort,"의지, 호소",13,,"옥스포드, 동아출판, YBM",,
culprit,범인,13,,,,
draw lots,제비뽑기를 하다,13,,숙어,,
bruise,멍(흠)이 생기다,13,,,,
agitation,"불안, 동요",13,,,,
shudder,"몸이 떨림, 전율, 몸서리, 크게 흔들림",14,,,,
blasphemy,신성모독,14,,,,
meek,"온순한, 온화한",14,,,,
sever,"잘라내다, 끊다, 절단하다",14,,,,
culpable,"과실이 있는, 비난받을 만한",14,,,,
take refuge,대피하다,14,,,,
benumbing,무감각한,14,,,,
at an end,"(일 따위가) 끝나서, (인내가) 다하여",14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
,,14,,,,
