COL_DTM,STD_LINK_ID,SPEED,COL_TYPE
20231018080000,2050029400,14,MOCT
20231018080000,2050029500,26,MOCT
20231018080000,2050029600,19,MOCT
20231018080000,2050029700,25,MOCT
20231018080000,2050029800,25,MOCT
20231018080000,2050029900,24,MOCT
20231018080000,2050030000,30,MOCT
20231018080000,2050030100,18,MOCT
20231018080000,2050030200,18,MOCT
20231018080000,2050030301,22,MOCT
20231018080000,2050030302,22,MOCT
20231018080000,2050030401,26,MOCT
20231018080000,2050030402,25,MOCT
20231018080000,2050030500,13,MOCT
20231018080000,2050030600,6,MOCT
20231018080000,2050030700,18,MOCT
20231018080000,2050030800,25,MOCT
20231018080000,2050030900,28,MOCT
20231018080000,2050031000,22,MOCT
20231018080000,2050031100,24,MOCT
20231018080000,2050031200,27,MOCT
20231018080000,2050031300,28,MOCT
20231018080000,2050031400,25,MOCT
20231018080000,2050031700,8,MOCT
20231018080000,2050031800,36,MOCT
20231018080000,2050031900,27,MOCT
20231018080000,2050032000,15,MOCT
20231018080000,2050032100,8,MOCT
20231018080000,2050032200,30,MOCT
20231018080000,2050032300,30,MOCT
20231018080000,2050032400,23,MOCT
20231018080000,2050014500,37,MOCT
20231018080000,2050014600,23,MOCT
20231018080000,2050032700,14,MOCT
20231018080000,2050032800,23,MOCT
20231018080000,2050032900,15,MOCT
20231018080000,2050033000,19,MOCT
20231018080000,2050033100,9,MOCT
20231018080000,2050033200,11,MOCT
20231018080000,2050033300,26,MOCT
20231018080000,2050033400,20,MOCT
20231018080000,2050033500,26,MOCT
20231018080000,2050033600,19,MOCT
20231018080000,2050033700,21,MOCT
20231018080000,2050033800,15,MOCT
20231018080000,2050033900,8,MOCT
20231018080000,2050034000,17,MOCT
20231018080000,2050034100,10,MOCT
20231018080000,2050034200,16,MOCT
20231018080000,2050034700,27,MOCT
20231018080000,2050034800,15,MOCT
20231018080000,2050034900,34,MOCT
20231018080000,2050035000,26,MOCT
20231018080000,2050035100,29,MOCT
20231018080000,2050035200,34,MOCT
20231018080000,2050035300,28,MOCT
20231018080000,2050035400,19,MOCT
20231018080000,2050035500,21,MOCT
