COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231019140936,244,1,4,2023-10-19 14:09:37
20231019140937,152,1,2,2023-10-19 14:09:38
20231019140937,671,1,1,2023-10-19 14:09:38
20231019141002,402,1,1,2023-10-19 14:10:03
20231019140937,37,1,3,2023-10-19 14:09:38
20231019141003,246,1,2,2023-10-19 14:10:04
20231019141003,494,1,2,2023-10-19 14:10:04
20231019140937,588,1,5,2023-10-19 14:09:38
20231019140937,57,1,1,2023-10-19 14:09:38
20231019141003,667,1,2,2023-10-19 14:10:04
20231019140937,121,1,3,2023-10-19 14:09:38
20231019140937,637,1,1,2023-10-19 14:09:38
20231019140937,62,1,1,2023-10-19 14:09:38
20231019140907,282,1,1,2023-10-19 14:09:08
20231019140937,72,1,1,2023-10-19 14:09:38
20231019140937,559,1,5,2023-10-19 14:09:38
20231019140907,100,1,4,2023-10-19 14:09:08
20231019140937,277,1,3,2023-10-19 14:09:38
20231019141003,66,1,2,2023-10-19 14:10:04
20231019140937,476,1,2,2023-10-19 14:09:38
20231019140937,636,1,1,2023-10-19 14:09:38
20231019141003,226,1,3,2023-10-19 14:10:04
20231019141003,499,1,2,2023-10-19 14:10:04
20231019140937,333,1,1,2023-10-19 14:09:38
20231019140937,448,1,3,2023-10-19 14:09:38
20231019141003,391,1,1,2023-10-19 14:10:04
20231019141003,689,1,2,2023-10-19 14:10:04
20231019140949,498,2,1,2023-10-19 14:09:50
20231019140949,51,2,4,2023-10-19 14:09:50
20231019140949,806,2,1,2023-10-19 14:09:50
20231019140949,563,4,1,2023-10-19 14:09:50
20231019140949,164,2,1,2023-10-19 14:09:50
20231019140907,95,1,1,2023-10-19 14:09:08
20231019140949,381,4,1,2023-10-19 14:09:50
20231019140949,420,4,1,2023-10-19 14:09:50
20231019140949,433,2,1,2023-10-19 14:09:50
20231019140949,502,2,1,2023-10-19 14:09:50
20231019140949,233,2,1,2023-10-19 14:09:50
20231019140949,515,2,1,2023-10-19 14:09:50
20231019140949,602,2,1,2023-10-19 14:09:50
20231019140949,589,2,1,2023-10-19 14:09:50
20231019140949,398,4,1,2023-10-19 14:09:50
20231019140949,428,4,1,2023-10-19 14:09:50
20231019140949,710,2,1,2023-10-19 14:09:50
20231019140949,697,2,1,2023-10-19 14:09:50
20231019140949,55,4,1,2023-10-19 14:09:50
20231019140949,554,4,1,2023-10-19 14:09:50
20231019140949,810,2,1,2023-10-19 14:09:50
20231019140949,580,4,1,2023-10-19 14:09:50
20231019140949,567,2,1,2023-10-19 14:09:50
20231019140949,337,2,1,2023-10-19 14:09:50
20231019140949,376,2,3,2023-10-19 14:09:50
20231019140949,632,2,1,2023-10-19 14:09:50
20231019140949,610,2,1,2023-10-19 14:09:50
20231016011242,258,1,1,2023-10-16 01:12:43
20231019140949,85,2,1,2023-10-19 14:09:50
20231019140949,380,4,1,2023-10-19 14:09:50
20231019140949,59,2,1,2023-10-19 14:09:50
20231019140949,545,4,1,2023-10-19 14:09:50
20231019141003,331,1,1,2023-10-19 14:10:04
20231019140949,584,2,1,2023-10-19 14:09:50
20231019140949,306,4,1,2023-10-19 14:09:50
20231019140949,562,4,1,2023-10-19 14:09:50
20231019140949,614,2,1,2023-10-19 14:09:50
20231019140949,384,4,1,2023-10-19 14:09:50
20231019140949,627,2,1,2023-10-19 14:09:50
20231019140949,202,2,1,2023-10-19 14:09:50
20231019140949,24,2,1,2023-10-19 14:09:50
20231019140949,753,2,1,2023-10-19 14:09:50
20231019141003,50,1,4,2023-10-19 14:10:04
20231019140949,809,2,1,2023-10-19 14:09:50
20231019140949,336,2,1,2023-10-19 14:09:50
20231019140949,54,4,1,2023-10-19 14:09:50
20231019140949,579,4,1,2023-10-19 14:09:50
20231019140949,397,4,1,2023-10-19 14:09:50
20231019140949,236,2,1,2023-10-19 14:09:50
20231019140949,709,4,1,2023-10-19 14:09:50
20231019140949,735,2,1,2023-10-19 14:09:50
20231019140949,505,2,1,2023-10-19 14:09:50
20231019140949,531,2,1,2023-10-19 14:09:50
20231019140949,618,1,2,2023-10-19 14:09:50
20231019140949,631,2,1,2023-10-19 14:09:50
20231019140949,427,4,1,2023-10-19 14:09:50
20231019140949,418,2,1,2023-10-19 14:09:50
20231019140949,470,2,1,2023-10-19 14:09:50
20231019140949,240,2,1,2023-10-19 14:09:50
20231019140949,739,2,2,2023-10-19 14:09:50
20231019141003,242,1,1,2023-10-19 14:10:04
20231019140949,314,2,1,2023-10-19 14:09:50
20231019140949,570,2,1,2023-10-19 14:09:50
20231019140949,45,4,1,2023-10-19 14:09:50
20231019140949,596,2,1,2023-10-19 14:09:50
20231019140949,370,4,1,2023-10-19 14:09:50
20231019140949,101,4,1,2023-10-19 14:09:50
20231019140949,396,2,1,2023-10-19 14:09:50
20231019140949,114,4,1,2023-10-19 14:09:50
20231019140949,279,1,2,2023-10-19 14:09:50
20231019140949,253,4,1,2023-10-19 14:09:50
20231019140949,10,2,1,2023-10-19 14:09:50
20231019140949,75,4,1,2023-10-19 14:09:50
20231019140908,73,1,1,2023-10-19 14:09:09
