COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,455,1,1,2023-10-18 08:00:00
20231000000000,542,1,1,2023-10-18 08:00:00
20231000000000,560,1,2,2023-10-18 08:00:00
20231000000000,579,1,1,2023-10-18 08:00:00
20231000000000,617,1,1,2023-10-18 08:00:00
20231000000000,650,1,2,2023-10-18 08:00:00
20231000000000,689,1,2,2023-10-18 08:00:00
20231000000000,700,1,1,2023-10-18 08:00:00
20231000000000,721,1,2,2023-10-18 08:00:00
20231000000000,50,1,4,2023-10-18 08:00:00
20231000000000,291,1,4,2023-10-18 08:00:00
20231000000000,343,1,2,2023-10-18 08:00:00
20231000000000,404,1,4,2023-10-18 08:00:00
20231000000000,436,1,4,2023-10-18 08:00:00
20231000000000,497,1,2,2023-10-18 08:00:00
20231000000000,510,1,3,2023-10-18 08:00:00
20231000000000,618,1,3,2023-10-18 08:00:00
20231000000000,703,1,1,2023-10-18 08:00:00
20231000000000,713,1,1,2023-10-18 08:00:00
20231000000000,727,1,1,2023-10-18 08:00:00
20231000000000,66,1,2,2023-10-18 08:00:00
20231000000000,127,1,2,2023-10-18 08:00:00
20231000000000,154,1,4,2023-10-18 08:00:00
20231000000000,184,1,4,2023-10-18 08:00:00
20231000000000,185,1,5,2023-10-18 08:00:00
20231000000000,231,1,3,2023-10-18 08:00:00
20231000000000,243,1,3,2023-10-18 08:00:00
20231000000000,329,1,1,2023-10-18 08:00:00
20231000000000,471,1,3,2023-10-18 08:00:00
20231000000000,534,1,3,2023-10-18 08:00:00
20231000000000,19,1,4,2023-10-18 08:00:00
20231000000000,20,1,2,2023-10-18 08:00:00
20231000000000,47,1,3,2023-10-18 08:00:00
20231000000000,139,1,4,2023-10-18 08:00:00
20231000000000,179,1,1,2023-10-18 08:00:00
20231000000000,217,1,3,2023-10-18 08:00:00
20231000000000,248,1,2,2023-10-18 08:00:00
20231000000000,431,1,1,2023-10-18 08:00:00
20231000000000,592,1,4,2023-10-18 08:00:00
20231000000000,625,1,4,2023-10-18 08:00:00
20231000000000,641,1,1,2023-10-18 08:00:00
20231000000000,658,1,2,2023-10-18 08:00:00
20231000000000,674,1,2,2023-10-18 08:00:00
20231000000000,738,1,3,2023-10-18 08:00:00
20231000000000,740,1,3,2023-10-18 08:00:00
20231000000000,31,1,1,2023-10-18 08:00:00
20231000000000,136,1,3,2023-10-18 08:00:00
20231000000000,150,1,1,2023-10-18 08:00:00
20231000000000,170,1,3,2023-10-18 08:00:00
20231000000000,206,1,4,2023-10-18 08:00:00
20231000000000,210,1,3,2023-10-18 08:00:00
20231000000000,245,1,2,2023-10-18 08:00:00
20231000000000,287,1,2,2023-10-18 08:00:00
20231000000000,301,1,3,2023-10-18 08:00:00
20231000000000,304,1,2,2023-10-18 08:00:00
20231000000000,306,1,1,2023-10-18 08:00:00
20231000000000,354,1,3,2023-10-18 08:00:00
20231000000000,365,1,1,2023-10-18 08:00:00
20231000000000,386,1,3,2023-10-18 08:00:00
20231000000000,426,1,2,2023-10-18 08:00:00
20231000000000,437,1,1,2023-10-18 08:00:00
20231000000000,448,1,4,2023-10-18 08:00:00
20231000000000,519,1,6,2023-10-18 08:00:00
20231000000000,547,1,6,2023-10-18 08:00:00
20231000000000,622,1,4,2023-10-18 08:00:00
20231000000000,663,1,3,2023-10-18 08:00:00
20231000000000,673,1,2,2023-10-18 08:00:00
20231000000000,699,1,1,2023-10-18 08:00:00
20231000000000,107,1,2,2023-10-18 08:00:00
20231000000000,332,1,3,2023-10-18 08:00:00
20231000000000,569,1,1,2023-10-18 08:00:00
20231000000000,620,1,3,2023-10-18 08:00:00
20231000000000,640,1,1,2023-10-18 08:00:00
20231000000000,747,1,3,2023-10-18 08:00:00
20231000000000,751,1,2,2023-10-18 08:00:00
20231000000000,16,1,2,2023-10-18 08:00:00
20231000000000,82,1,3,2023-10-18 08:00:00
20231000000000,98,1,4,2023-10-18 08:00:00
20231000000000,111,1,4,2023-10-18 08:00:00
20231000000000,112,1,2,2023-10-18 08:00:00
20231000000000,191,1,3,2023-10-18 08:00:00
20231000000000,326,1,4,2023-10-18 08:00:00
20231000000000,327,1,4,2023-10-18 08:00:00
20231000000000,456,1,3,2023-10-18 08:00:00
20231000000000,583,1,3,2023-10-18 08:00:00
20231000000000,21,1,3,2023-10-18 08:00:00
20231000000000,23,1,2,2023-10-18 08:00:00
20231000000000,61,1,1,2023-10-18 08:00:00
20231000000000,272,1,2,2023-10-18 08:00:00
20231000000000,351,1,3,2023-10-18 08:00:00
20231000000000,457,1,5,2023-10-18 08:00:00
20231000000000,465,1,1,2023-10-18 08:00:00
20231000000000,522,1,2,2023-10-18 08:00:00
20231000000000,541,1,1,2023-10-18 08:00:00
20231000000000,568,1,1,2023-10-18 08:00:00
20231000000000,662,1,3,2023-10-18 08:00:00
20231000000000,684,1,4,2023-10-18 08:00:00
20231000000000,723,1,1,2023-10-18 08:00:00
20231000000000,9,1,1,2023-10-18 08:00:00
20231000000000,18,1,1,2023-10-18 08:00:00
20231000000000,37,1,1,2023-10-18 08:00:00
20231000000000,102,1,2,2023-10-18 08:00:00
20231000000000,169,1,3,2023-10-18 08:00:00
20231000000000,175,1,3,2023-10-18 08:00:00
20231000000000,180,1,3,2023-10-18 08:00:00
20231000000000,296,1,1,2023-10-18 08:00:00
20231000000000,328,1,5,2023-10-18 08:00:00
20231000000000,350,1,4,2023-10-18 08:00:00
20231000000000,444,1,4,2023-10-18 08:00:00
20231000000000,492,1,4,2023-10-18 08:00:00
20231000000000,611,1,2,2023-10-18 08:00:00
20231000000000,651,1,3,2023-10-18 08:00:00
20231000000000,724,1,1,2023-10-18 08:00:00
20231000000000,28,1,4,2023-10-18 08:00:00
20231000000000,42,1,2,2023-10-18 08:00:00
20231000000000,48,1,5,2023-10-18 08:00:00
20231000000000,90,1,1,2023-10-18 08:00:00
20231000000000,94,1,2,2023-10-18 08:00:00
20231000000000,108,1,3,2023-10-18 08:00:00
20231000000000,155,1,2,2023-10-18 08:00:00
20231000000000,220,1,5,2023-10-18 08:00:00
20231000000000,250,1,3,2023-10-18 08:00:00
20231000000000,277,1,1,2023-10-18 08:00:00
20231000000000,292,1,1,2023-10-18 08:00:00
20231000000000,324,1,5,2023-10-18 08:00:00
20231000000000,348,1,2,2023-10-18 08:00:00
20231000000000,369,1,4,2023-10-18 08:00:00
20231000000000,377,1,1,2023-10-18 08:00:00
20231000000000,415,1,1,2023-10-18 08:00:00
20231000000000,464,1,1,2023-10-18 08:00:00
20231000000000,635,1,2,2023-10-18 08:00:00
20231000000000,645,1,3,2023-10-18 08:00:00
20231000000000,745,1,2,2023-10-18 08:00:00
20231000000000,14,1,2,2023-10-18 08:00:00
20231000000000,97,1,2,2023-10-18 08:00:00
20231000000000,99,1,4,2023-10-18 08:00:00
20231000000000,152,1,1,2023-10-18 08:00:00
